ID,Ctg Onboarding ID,Job Request Timestamp,Pickup Full Address,Dropoff Full Address,Contract Rate,Driver Collected,Tolls Amount,Voucher Number,Source,Created At,Updated At,Status,Flat Rate,Trip ID,Pool Number
5NKB7kx4aKg=,7686,2022-02-16T23:49:00Z,"551 HOLLYWOOD AVE, BRONX 10465","1343 FULTON AVE, BRONX 10456",27.69,2.75,0.0,2236930088,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,7oEKamWnmoU=,
rr_v2104NtU=,7686,2022-02-16T22:30:00Z,"20302 109 AVE, SAINT ALBANS 11412","16202 77 RD, FRESH MEADOWS 11366",29.01,2.75,0.0,2236929483,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,7Jrw0NgR1WI=,
YlM7Xz61CIc=,7686,2022-02-16T21:59:00Z,"1815 215 ST, BAYSIDE 11360","12026 235 ST, JAMAICA 11411",26.88,2.75,0.0,2236929015,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,MczBZS1PDGk=,
3J-3O7IEdVw=,7686,2022-02-16T21:10:00Z,"3048 LINDEN PL, FLUSHING 11354","6731 212 ST, OAKLAND GARDENS 11364",30.17,2.75,0.0,2236928410,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,6n5YDasXAuw=,
yO6btsIOzeQ=,7686,2022-02-16T20:04:00Z,"21221 JAMAICA AVE, JAMAICA 11428","19506 WOODHULL AVE, HOLLIS 11423",21.97,2.75,0.0,2236927334,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,doOpdwtF7wY=,
61rltZlsfuc=,7686,2022-02-16T18:37:00Z,"7711 BROADWAY, ELMHURST 11373","2106 LINDEN ST, RIDGEWOOD 11385",22.67,2.75,0.0,2236925572,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,8uH2lLUAk0U=,
t3leNkSBw3Q=,7686,2022-02-16T15:00:00Z,"12046 QUEENS BLVD, KEW GARDENS 11415","13209 109 AVE, SOUTH OZONE PARK 11420",25.16,2.75,0.0,2236921476,ctg_export,2022-02-17T15:45:43.763619Z,2022-02-17T15:45:43.763619Z,SUCCESS,,JQ6lsMhdsFo=,
lzFVq3jOO9E=,7686,2022-02-16T02:46:00Z,"15964 HARLEM RIVER DR, MANHATTAN","11040 175 ST, JAMAICA 11433",69.71,1.35,6.55,2236915141,ctg_export,2022-02-16T16:05:11.077703Z,2022-02-17T15:45:43.763619Z,SUCCESS,,zz0SC0hKGQE=,
Ot5KGP8n6Ag=,7686,2022-02-16T02:20:00Z,"1150 ST NICHOLAS AVE, MANHATTAN","524 W 151 ST, MANHATTAN",20.44,2.75,0.0,2236915096,ctg_export,2022-02-16T16:05:11.077703Z,2022-02-17T15:45:43.763619Z,SUCCESS,,2Tb_PZxPNlE=,
jma9O-5J5ls=,7686,2022-02-16T01:39:00Z,"237 W 51 ST, MANHATTAN","537 W 133 ST, MANHATTAN",25.98,2.75,0.0,2236914988,ctg_export,2022-02-16T16:05:11.077703Z,2022-02-17T15:45:43.763619Z,SUCCESS,,jBUzaqyoK0g=,
